location;source;target;id;fuzzy;context;translator_comments;developer_comments
;You don‚Äôt have any tabs open in Firefox on your other devices.;;;False;Client/en.lproj/Localizable.strings///You don‚Äôt have any tabs open in Firefox on your other devices.;Error message in the remote tabs panel;
;Your Rights;Ihre Rechte;;True;Client/en.lproj/Localizable.strings///Your Rights;Your Rights settings section title;
;computer;Computer;;True;Client/en.lproj/Localizable.strings///computer;Accessibility label for Desktop Computer (PC) image in remote tabs list;
;mobile device;Mobilger√§t;;True;Client/en.lproj/Localizable.strings///mobile device;Accessibility label for Mobile Device image in remote tabs list;
;read;gelesen;;True;Client/en.lproj/Localizable.strings///read;Accessibility label for read article in reading list. It's a past participle - functions as an adjective.;
;unread;ungelesen;;True;Client/en.lproj/Localizable.strings///unread;Accessibility label for unread article in reading list. It's a past participle - functions as an adjective.;
;Are you sure?;Sind Sie sicher?;;True;Client/en.lproj/LoginManager.strings///Are you sure?;Prompt title when deleting logins;
;Cancel;Abbrechen;;True;Client/en.lproj/LoginManager.strings///Cancel;Prompt option for cancelling out of deletion;
;Clear Search;Suchfeld l√∂schen;;True;Client/en.lproj/LoginManager.strings///Clear Search;Accessibility message e.g. spoken by VoiceOver after the user taps the close button in the search field to clear the search and exit search mode;
;Copy;Kopieren;;True;Client/en.lproj/LoginManager.strings///Copy;Copy password text selection menu item;
;Delete;L√∂schen;;True;Client/en.lproj/LoginManager.strings///Delete;Label for the button used to delete the current login.;
;Deselect All;Auswahl aufheben;;True;Client/en.lproj/LoginManager.strings///Deselect All;Label for the button used to deselect all logins.;
;Enter Search Mode;Suchmodus aktivieren;;True;Client/en.lproj/LoginManager.strings///Enter Search Mode;Accessibility label for entering search mode for logins;
;Hide;Ausblenden;;True;Client/en.lproj/LoginManager.strings///Hide;Hide password text selection menu item;
;Last modified %@;Zuletzt ver√§ndert: %@;;True;Client/en.lproj/LoginManager.strings///Last modified %@;Footer label describing when the current login was last modified with the timestamp as the parameter.;
;Logins;Zugangsdaten;;True;Client/en.lproj/LoginManager.strings///Logins;Title for Logins List View screen.;
;Logins will be permanently removed.;Zugangsdaten werden dauerhaft entfernt.;;True;Client/en.lproj/LoginManager.strings///Logins will be permanently removed.;Prompt message warning the user that deleting non-synced logins will permanently remove them;
;Logins will be removed from all connected devices.;Zugangsdaten werden von allen verbundenen Ger√§ten entfernt.;;True;Client/en.lproj/LoginManager.strings///Logins will be removed from all connected devices.;Prompt message warning the user that deleted logins will remove logins from all connected devices;
;No logins found;Keine Zugangsdaten gefunden;;True;Client/en.lproj/LoginManager.strings///No logins found;Label displayed when no logins are found after searching.;
;Open & Fill;√ñffnen & ausf√ºllen;;True;Client/en.lproj/LoginManager.strings///Open & Fill;Open and Fill website text selection menu item;
;Reveal;Anzeigen;;True;Client/en.lproj/LoginManager.strings///Reveal;Reveal password text selection menu item;
;Search;Suchen;;True;Client/en.lproj/LoginManager.strings///Search;Title for the search field at the top of the Logins list screen;
;Search Input Field;Sucheingabefeld;;True;Client/en.lproj/LoginManager.strings///Search Input Field;Accessibility label for the search input field in the Logins list;
;Select All;Alle ausw√§hlen;;True;Client/en.lproj/LoginManager.strings///Select All;Label for the button used to select all logins.;
;password;Passwort;;True;Client/en.lproj/LoginManager.strings///password;Label displayed above the password row in Login Detail View.;
;username;Benutzername;;True;Client/en.lproj/LoginManager.strings///username;Label displayed above the username row in Login Detail View.;
;website;Website;;True;Client/en.lproj/LoginManager.strings///website;Label displayed above the website row in Login Detail View.;
;Close Private Tabs;Ghost Tabs schlieﬂen;;True;Client/en.lproj/PrivateBrowsing.strings///Close Private Tabs;Setting for closing private tabs;
;Firefox won‚Äôt remember any of your history or cookies, but new bookmarks will be saved.;Ghostery wird weder deinen Verlauf noch Cookies speichern, du kannst aber neue Favoriten hinzuf¸gen.;;False;Client/en.lproj/PrivateBrowsing.strings///Firefox won‚Äôt remember any of your history or cookies, but new bookmarks will be saved.;Description text displayed when there are no open tabs while in private mode;
;Learn More;Mehr erfahren;;True;Client/en.lproj/PrivateBrowsing.strings///Learn More;Text button displayed when there are no tabs open while in private mode;
;Off;Aus;;True;Client/en.lproj/PrivateBrowsing.strings///Off;Toggled OFF accessibility value;
;On;An;;True;Client/en.lproj/PrivateBrowsing.strings///On;Toggled ON accessibility value;
;Open in New Private Tab;In neuem Ghost Tab ˆffnen;;False;Client/en.lproj/PrivateBrowsing.strings///Open in New Private Tab;Context menu option for opening a link in a new private tab;
;Private Browsing;Surfen im Ghost Modus;;True;Client/en.lproj/PrivateBrowsing.strings///Private Browsing;Title displayed for when there are no open tabs while in private mode;
;Private Mode;Ghost Modus;;True;Client/en.lproj/PrivateBrowsing.strings///Private Mode;Accessibility label for toggling on/off private mode;
;Turns private mode on or off;Schaltet den Ghost Modus an oder aus;;True;Client/en.lproj/PrivateBrowsing.strings///Turns private mode on or off;Accessiblity hint for toggling on/off private mode;
;When Leaving Private Browsing;Beim Verlassen des Ghost Modus;;True;Client/en.lproj/PrivateBrowsing.strings///When Leaving Private Browsing;Will be displayed in Settings under 'Close Private Tabs';
;%@ search;%@-Suche;;True;Client/en.lproj/Search.strings///%@ search;Label for search engine buttons. The argument corresponds to the name of the search engine.;
;Search Settings;Sucheinstellungen;;True;Client/en.lproj/Search.strings///Search Settings;Label for search settings button.;
;Search suggestions from %@;Suchvorschl√§ge von %@;;True;Client/en.lproj/Search.strings///Search suggestions from %@;"Accessibility label for image of default search engine displayed left to the actual search suggestions from the engine. The parameter substituted for \""%@\"" is the name of the search engine. E.g.: Search suggestions from Google";
;More Info‚Ä¶;;;False;Client/en.lproj/SendAnonymousUsageData.strings///More Info‚Ä¶;Re-using more info label from 'anonymous usage data' item for showing a 'More Info' link on the Tracking Protection settings screen.;
;Available devices:;;;False;Client/en.lproj/SendTo.strings///Available devices:;Header for the list of devices table;
;Close;;;False;Client/en.lproj/SendTo.strings///Close;Close button in top navigation bar;
;Please open Firefox, go to Settings and sign in to continue.;;;False;Client/en.lproj/SendTo.strings///Please open Firefox, go to Settings and sign in to continue.;See http://mzl.la/1ISlXnU;
;Send;;;False;Client/en.lproj/SendTo.strings///Send;Navigation bar button to Send the current page to a device;
;Send Tab;;;False;Client/en.lproj/SendTo.strings///Send Tab;Title of the dialog that allows you to send a tab to a different device;
;You are not signed in to your Firefox Account.;;;False;Client/en.lproj/SendTo.strings///You are not signed in to your Firefox Account.;See http://mzl.la/1ISlXnU;
;You don‚Äôt have any other devices connected to this Firefox Account available to sync.;;;False;Client/en.lproj/SendTo.strings///You don‚Äôt have any other devices connected to this Firefox Account available to sync.;Error message shown in the remote tabs panel;
;$(PRODUCT_NAME);;;False;ClientTests/en.lproj/InfoPlist.strings///CFBundleName;Bundle name;
;$(MOZ_BUNDLE_DISPLAY_NAME);;;False;Extensions/NotificationService/en.lproj/InfoPlist.strings///CFBundleDisplayName;Bundle display name;
;$(PRODUCT_NAME);;;False;Extensions/NotificationService/en.lproj/InfoPlist.strings///CFBundleName;Bundle name;
;Send Tab;Send Tab;;True;Extensions/SendTo/en.lproj/InfoPlist.strings///CFBundleDisplayName;Bundle display name;
;$(PRODUCT_NAME);;;False;Extensions/SendTo/en.lproj/InfoPlist.strings///CFBundleName;Bundle name;
;Available devices:;;;False;Extensions/SendTo/en.lproj/SendTo.strings///Available devices:;Header for the list of devices table;
;Close;;;False;Extensions/SendTo/en.lproj/SendTo.strings///Close;Close button in top navigation bar;
;Please open Firefox, go to Settings and sign in to continue.;;;False;Extensions/SendTo/en.lproj/SendTo.strings///Please open Firefox, go to Settings and sign in to continue.;See http://mzl.la/1ISlXnU;
;Send;;;False;Extensions/SendTo/en.lproj/SendTo.strings///Send;Navigation bar button to Send the current page to a device;
;Send Tab;;;False;Extensions/SendTo/en.lproj/SendTo.strings///Send Tab;Title of the dialog that allows you to send a tab to a different device;
;You are not signed in to your Firefox Account.;;;False;Extensions/SendTo/en.lproj/SendTo.strings///You are not signed in to your Firefox Account.;See http://mzl.la/1ISlXnU;
;You don‚Äôt have any other devices connected to this Firefox Account available to sync.;;;False;Extensions/SendTo/en.lproj/SendTo.strings///You don‚Äôt have any other devices connected to this Firefox Account available to sync.;Error message shown in the remote tabs panel;
;$(MOZ_BUNDLE_DISPLAY_NAME);;;False;Extensions/ShareTo/en.lproj/InfoPlist.strings///CFBundleDisplayName;Bundle display name;
;$(PRODUCT_NAME);;;False;Extensions/ShareTo/en.lproj/InfoPlist.strings///CFBundleName;Bundle name;
;Add;;;False;Extensions/ShareTo/en.lproj/ShareTo.strings///Add;Add button in the share dialog;
;Add to Bookmarks;;;False;Extensions/ShareTo/en.lproj/ShareTo.strings///Add to Bookmarks;On/off toggle to select adding this url to your bookmarks;
;Add to Reading List;;;False;Extensions/ShareTo/en.lproj/ShareTo.strings///Add to Reading List;On/off toggle to select adding this url to your reading list;
;$(MOZ_BUNDLE_DISPLAY_NAME);;;False;Extensions/Today/en.lproj/InfoPlist.strings///CFBundleDisplayName;Bundle display name;
;$(PRODUCT_NAME);;;False;Extensions/Today/en.lproj/InfoPlist.strings///CFBundleName;Bundle name;
;Go to copied link;;;False;Extensions/Today/en.lproj/Today.strings///TodayWidget.GoToCopiedLinkLabel;Go to link on clipboard;
;New Private Tab;Neuer Ghost Tab;;False;Extensions/Today/en.lproj/Today.strings///TodayWidget.NewPrivateTabButtonLabel;New Private Tab button label;
;New Tab;;;False;Extensions/Today/en.lproj/Today.strings///TodayWidget.NewTabButtonLabel;New Tab button label;
;View Later;View Later;;True;Extensions/ViewLater/en.lproj/InfoPlist.strings///CFBundleDisplayName;Bundle display name;
;$(PRODUCT_NAME);;;False;Extensions/ViewLater/en.lproj/InfoPlist.strings///CFBundleName;Bundle name;
;$(PRODUCT_NAME);;;False;ReadingList/en.lproj/InfoPlist.strings///CFBundleName;Bundle name;
;$(PRODUCT_NAME);;;False;ReadingListTests/en.lproj/InfoPlist.strings///CFBundleName;Bundle name;
;Send to Device;;;False;Shared/Supporting Files/en.lproj/3DTouchActions.strings///Send to Device;Label for preview action on Tab Tray Tab to send the current tab to another device;
;Use Face ID;;;False;Shared/Supporting Files/en.lproj/AuthenticationManager.strings///Use Face ID;List section title for when to use Face ID;
;Use Touch ID;;;False;Shared/Supporting Files/en.lproj/AuthenticationManager.strings///Use Touch ID;List section title for when to use Touch ID;
;$(PRODUCT_NAME);;;False;Shared/Supporting Files/en.lproj/InfoPlist.strings///CFBundleName;Bundle name;
;Use any email app ‚Äî not just Mail ‚Äî with Firefox.;;;False;Shared/Supporting Files/en.lproj/Intro.strings///Intro.Slides.Mail.Description;Description for the 'Mail' panel in the First Run tour.;
;You‚Äôve got mail‚Ä¶ options;;;False;Shared/Supporting Files/en.lproj/Intro.strings///Intro.Slides.Mail.Title;Title for the fourth panel 'Mail' in the First Run tour.;
;Tap the mask icon to slip into Private Browsing mode.;;;False;Shared/Supporting Files/en.lproj/Intro.strings///Intro.Slides.Private.Description;Description for the 'Private Browsing' panel in the First Run tour.;
;Browse like no one‚Äôs watching;;;False;Shared/Supporting Files/en.lproj/Intro.strings///Intro.Slides.Private.Title;Title for the third panel 'Private Browsing' in the First Run tour.;
;Searching for something different? Choose another default search engine (or add your own) in Settings.;;;False;Shared/Supporting Files/en.lproj/Intro.strings///Intro.Slides.Search.Description;Description for the 'Favorite Search Engine' panel in the First Run tour.;
;Your search, your way;;;False;Shared/Supporting Files/en.lproj/Intro.strings///Intro.Slides.Search.Title;Title for the second panel 'Search' in the First Run tour.;
;Use Sync to find the bookmarks, passwords, and other things you save to Firefox on all your devices.;;;False;Shared/Supporting Files/en.lproj/Intro.strings///Intro.Slides.Sync.Description;Description for the 'Sync' panel in the First Run tour.;
;Pick up where you left off;;;False;Shared/Supporting Files/en.lproj/Intro.strings///Intro.Slides.Sync.Title;Title for the fifth panel 'Sync' in the First Run tour.;
;A modern mobile browser from Mozilla, the non-profit committed to a free and open web.;;;False;Shared/Supporting Files/en.lproj/Intro.strings///Intro.Slides.Welcome.Description;Description for the 'Welcome' panel in the First Run tour.;
;Thanks for choosing Firefox!;;;False;Shared/Supporting Files/en.lproj/Intro.strings///Intro.Slides.Welcome.Title;Title for the first panel 'Welcome' in the First Run tour.;
;Sign in to Firefox;;;False;Shared/Supporting Files/en.lproj/Intro.strings///Sign in to Firefox;See http://mzl.la/1T8gxwo;
;Start Browsing;;;False;Shared/Supporting Files/en.lproj/Intro.strings///Start Browsing;See http://mzl.la/1T8gxwo;
;Pin to Top Sites;Als Top-Seite anheften;;False;Shared/Supporting Files/en.lproj/Localizable.strings///ActivityStream.ContextMenu.PinTopsite;The title for the pinning a topsite action;
;Remove Pinned Site;Angeheftete Seite entfernen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///ActivityStream.ContextMenu.RemovePinTopsite;The title for removing a pinned topsite action;
;Firefox will place things here that you‚Äôve discovered on the web so you can find your way back to the great articles, videos, bookmarks and other pages;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///ActivityStream.HighlightIntro.Description;The detailed text that explains what highlights are in AS.;
;Be on the Lookout;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///ActivityStream.HighlightIntro.Title;The title that appears for the introduction to highlights in AS.;
;Bookmarked;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///ActivityStream.Highlights.Bookmark;The description of a highlight if it is a site the user has bookmarked;
;Highlights;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///ActivityStream.Highlights.Title;Section title label for the Highlights section;
;Visited;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///ActivityStream.Highlights.Visited;The description of a highlight if it is a site the user has visited;
;Next Page;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///ActivityStream.PageControl.Button;The page control button that lets you switch between pages in top sites;
;More;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///ActivityStream.Pocket.MoreLink;The link that shows more Pocket trending stories;
;Recommended by Pocket;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///ActivityStream.Pocket.SectionTitle;Section title label for Recommended by Pocket section;
;Trending;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///ActivityStream.Pocket.Trending;The description of a Pocket Story;
;Top Sites;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///ActivityStream.TopSites.SectionTitle;Section title label for Top Sites;
;OK;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///AddPass.Error.Dismiss;Button to dismiss the 'Add Pass Failed' alert. See https://support.apple.com/HT204003 for context on Wallet.;
;An error occured while adding the pass to Wallet. Please try again later.;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///AddPass.Error.Message;Text of the 'Add Pass Failed' alert. See https://support.apple.com/HT204003 for context on Wallet.;
;Failed to Add Pass;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///AddPass.Error.Title;Title of the 'Add Pass Failed' alert. See https://support.apple.com/HT204003 for context on Wallet.;
;Bookmarks;Lesezeichen;;True;Shared/Supporting Files/en.lproj/Localizable.strings///Bookmarks;Toggle bookmarks syncing setting;
;Folder;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Bookmarks.Folder.Label;The label to show the location of the folder where the bookmark is located;
;Location;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Bookmarks.FolderLocation.Label;The label for the location of the new folder;
;Folder Name;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Bookmarks.FolderName.Label;The label for the title of the new folder;
;New Folder;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Bookmarks.NewFolder.Label;The button to create a new folder;
;Title;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Bookmarks.Title.Label;The label for the title of a bookmark;
;URL;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Bookmarks.URL.Label;The label for the URL of a bookmark;
;Cancel;Abbrechen;;True;Shared/Supporting Files/en.lproj/Localizable.strings///Cancel;Label for Cancel button;
;Go;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///ClipboardToast.GoToCopiedLink.Button;The button to open a new tab with the copied link;
;Go to copied link?;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///ClipboardToast.GoToCopiedLink.Title;Message displayed when the user has a copied link on the clipboard;
;Switch;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///ContextMenu.ButtonToast.NewPrivateTabOpened.ButtonText;The button text in the Button Toast for switching to a fresh New Private Tab.;
;New Private Tab opened;Neuer Ghost Tab geˆffnet;;False;Shared/Supporting Files/en.lproj/Localizable.strings///ContextMenu.ButtonToast.NewPrivateTabOpened.LabelText;The label text in the Button Toast for switching to a fresh New Private Tab.;
;Switch;Wechseln;;False;Shared/Supporting Files/en.lproj/Localizable.strings///ContextMenu.ButtonToast.NewTabOpened.ButtonText;The button text in the Button Toast for switching to a fresh New Tab.;
;New Tab opened;Neuer Tab geˆffnet;;False;Shared/Supporting Files/en.lproj/Localizable.strings///ContextMenu.ButtonToast.NewTabOpened.LabelText;The label text in the Button Toast for switching to a fresh New Tab.;
;No;Nein;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Downloads.Alert.Cancel;The label of the button the user will press to reject the option to open a file in another application;
;Yes;Ja ;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Downloads.Alert.Confirm;The label of the button the user will press to be presented with a list of other apps to open a file in;
;Firefox is unable to download or display this file. Would you like to open it in another app?;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Downloads.Alert.Message;The message of the alert box asking the user if they want to use another app to open a file.;
;Firefox Downloads;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Downloads.Alert.Title;The title of the alert box asking the user if they want to use another app to open a file.;
;Downloads aren‚Äôt supported in Firefox yet.;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Downloads.Error.Message;The message displayed to a user when they try and perform the download of an asset that Firefox cannot currently handle.;
;Advanced;Erweitert;;True;Shared/Supporting Files/en.lproj/Localizable.strings///ErrorPages.Advanced.Button;Label for button to perform advanced actions on the error page;
;Warning: we can‚Äôt confirm your connection to this website is secure.;Warnung: Cliqz kann nicht sicherstellen, dass die Verbindung zu dieser Webseite sicher ist.;;True;Shared/Supporting Files/en.lproj/Localizable.strings///ErrorPages.AdvancedWarning1.Text;Warning text when clicking the Advanced button on error pages;
;It may be a misconfiguration or tampering by an attacker. Proceed if you accept the potential risk.;Der Grund kann eine Fehlkonfiguration der Webseite oder die Manipulation eines Angreifers sein. Fahre nur fort, wenn du das potentielle Risikos akzeptierst.;;True;Shared/Supporting Files/en.lproj/Localizable.strings///ErrorPages.AdvancedWarning2.Text;Additional warning text when clicking the Advanced button on error pages;
;The owner of %@ has configured their website improperly. To protect your information from being stolen, Firefox has not connected to this website.;Der Inhaber von %@ hat die Webseite nicht richtig konfiguriert. Cliqz hat keine Verbindung mit dieser Webseite aufgebaut um deine Informationen vor Diebstahl zu sch√ºtzen.;;True;Shared/Supporting Files/en.lproj/Localizable.strings///ErrorPages.CertWarning.Description;Warning text on the certificate error page;
;This Connection is Untrusted;Diese Verbindung ist nicht sicher;;True;Shared/Supporting Files/en.lproj/Localizable.strings///ErrorPages.CertWarning.Title;Title on the certificate error page;
;Go Back;Zur√ºck;;True;Shared/Supporting Files/en.lproj/Localizable.strings///ErrorPages.GoBack.Button;Label for button to go back from the error page;
;Visit site anyway;Webseite trotzdem besuchen;;True;Shared/Supporting Files/en.lproj/Localizable.strings///ErrorPages.VisitOnce.Button;Button label to temporarily continue to the site from the certificate error page;
;Open this link in the App Store app?;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///ExternalLink.AppStore.ConfirmationTitle;Question shown to user when tapping a link that opens the App Store app;
;Firefox Home Page;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Firefox.HomePage.Title;Title for firefox about:home page in tab history list;
;Wrong email? Disconnect below to start over.;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///FxA.AccountVerificationDetails;Label stating how to disconnect account;
;Account Verification Required;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///FxA.AccountVerificationRequired;Label stating your account is not verified;
;You need to verify %@. Check your email for the verification link from Firefox.;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///FxA.AccountVerificationRequiredSurface;Message explaining that user needs to check email for Firefox Account verfication link.;
;Connect Another Device;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///FxA.ConnectAnotherDevice;Button label to connect another device to Sync;
;Firefox Account;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///FxA.FirefoxAccount;Settings section title for Firefox Account;
;Manage Account & Devices;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///FxA.ManageAccount;Button label to go to Firefox Account settings;
;No Internet Connection;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///FxA.NoInternetConnection;Label when no internet is present;
;Open Sync Preferences;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///FxA.OpenSyncPreferences;Button label to open Sync preferences;
;Resend Email;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///FxA.ResendEmail;Button label to resend email;
;Sign in to Sync;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///FxA.SignIntoSync;Button label to sign into Sync;
;Get your tabs, bookmarks, and passwords from your other devices.;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///FxA.SyncExplain;Label explaining what sync does;
;Sync Now;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///FxA.SyncNow;Button label to Sync your Firefox Account;
;Take Your Web With You;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///FxA.TakeYourWebWithYou;Call to action for sign into sync button;
;Firefox Sync has connected to %@;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///FxAPush_DeviceConnected_body;Title of a notification displayed when another device has connected to FxA. %@ refers to the name of the newly connected device.;
;Sync Connected;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///FxAPush_DeviceConnected_title;Title of a notification displayed when another device has connected to FxA.;
;This device has been successfully disconnected from Firefox Sync.;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///FxAPush_DeviceDisconnected_ThisDevice_body;Body of a notification displayed when this device has been disconnected from FxA by another device.;
;Sync Disconnected;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///FxAPush_DeviceDisconnected_ThisDevice_title;Title of a notification displayed when this device has been disconnected by another device.;
;A device has disconnected from Firefox Sync;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///FxAPush_DeviceDisconnected_UnknownDevice_body;Body of a notification displayed when unnamed device has been disconnected from FxA.;
;%@ has been successfully disconnected.;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///FxAPush_DeviceDisconnected_body;Body of a notification displayed when named device has been disconnected from FxA. %@ refers to the name of the disconnected device.;
;Sync Disconnected;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///FxAPush_DeviceDisconnected_title;Title of a notification displayed when named device has been disconnected from FxA.;
;History;Verlauf;;True;Shared/Supporting Files/en.lproj/Localizable.strings///History;Toggle history syncing setting;
;Websites you‚Äôve visited recently will show up here.;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///HistoryPanel.EmptyState.Title;Title for the History Panel empty state.;
;Your tabs from other devices show up here.;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///HistoryPanel.EmptySyncedTabsNullState.Description;Description for the empty synced tabs null state in the History Panel;
;Sign in to view a list of tabs from your other devices.;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///HistoryPanel.EmptySyncedTabsPanelNotSignedInState.Description;Description for the empty synced tabs 'not signed in' state in the History Panel;
;Your account needs to be verified.;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///HistoryPanel.EmptySyncedTabsPanelNotYetVerifiedState.Description;Description for the empty synced tabs 'not yet verified' state in the History Panel;
;Want to see your tabs from other devices here?;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///HistoryPanel.EmptySyncedTabsPanelSingleDeviceSyncState.Description;Description for the empty synced tabs 'single device Sync' state in the History Panel;
;Turn on tab syncing to view a list of tabs from your other devices.;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///HistoryPanel.EmptySyncedTabsPanelTabSyncDisabledState.Description;Description for the empty synced tabs 'tab sync disabled' state in the History Panel;
;Firefox Sync;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///HistoryPanel.EmptySyncedTabsState.Title;Title for the empty synced tabs state in the History Panel;
;History;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///HistoryPanel.HistoryBackButton.Title;Title for the Back to History button in the History Panel;
;Recently Closed;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///HistoryPanel.RecentlyClosedTabsButton.Title;Title for the Recently Closed button in the History Panel;
;%d device(s) connected;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///HistoryPanel.SyncedTabsCell.Description.Pluralized;Description that corresponds with a number of devices connected for the Synced Tabs Cell in the History Panel;
;Synced Devices;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///HistoryPanel.SyncedTabsCell.Title;Title for the Synced Tabs Cell in the History Panel;
;Cancel;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///HomePage.Set.Dialog.Cancel;Button cancelling changes setting the home page for the first time.;
;You can change this at any time in Settings;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///HomePage.Set.Dialog.Message;Alert dialog body when the user opens the home page for the first time.;
;Set Homepage;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///HomePage.Set.Dialog.OK;Button accepting changes setting the home page for the first time.;
;Do you want to use this web page as your home page?;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///HomePage.Set.Dialog.Title;Alert dialog title when the user opens the home page for the first time.;
;Bookmark;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///HomePanel.ContextMenu.Bookmark;The title for the Bookmark context menu action for sites in Home Panels;
;Delete from History;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///HomePanel.ContextMenu.DeleteFromHistory;The title for the Delete from History context menu action for sites in Home Panels;
;Open in New Private Tab;In neuem Ghost Tab ˆffnen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///HomePanel.ContextMenu.OpenInNewPrivateTab;The title for the Open in New Private Tab context menu action for sites in Home Panels;
;Open in New Tab;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///HomePanel.ContextMenu.OpenInNewTab;The title for the Open in New Tab context menu action for sites in Home Panels;
;Remove;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///HomePanel.ContextMenu.Remove;The title for the Remove context menu action for sites in Home Panels;
;Remove Bookmark;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///HomePanel.ContextMenu.RemoveBookmark;The title for the Remove Bookmark context menu action for sites in Home Panels;
;Share;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///HomePanel.ContextMenu.Share;The title for the Share context menu action for sites in Home Panels;
;Back;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Hotkeys.Back.DiscoveryTitle;Label to display in the Discoverability overlay for keyboard shortcuts;
;Close Tab;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Hotkeys.CloseTab.DiscoveryTitle;Label to display in the Discoverability overlay for keyboard shortcuts;
;Find;Finden;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Hotkeys.Find.DiscoveryTitle;Label to display in the Discoverability overlay for keyboard shortcuts;
;Forward;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Hotkeys.Forward.DiscoveryTitle;Label to display in the Discoverability overlay for keyboard shortcuts;
;New Private Tab;Neuer Ghost Tab;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Hotkeys.NewPrivateTab.DiscoveryTitle;Label to display in the Discoverability overlay for keyboard shortcuts;
;New Tab;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Hotkeys.NewTab.DiscoveryTitle;Label to display in the Discoverability overlay for keyboard shortcuts;
